id,title,published,url,cluster_label
10,“아직도 늦지 않았다?” ‘32만전자’에 ‘170만닉스’까지 나온 목표...,2026-03-14T06:40:00,https://n.news.naver.com/mnews/article/016/0002613408?sid=101,2
13,중동 전쟁에도 반도체 낙관론…증권가 삼전닉스 목표가 '쑥',2026-03-15T17:40:00,https://n.news.naver.com/mnews/article/009/0005650439?sid=101,2
18,“32만전자 거뜬” 이란 전쟁에도 삼성전자 눈높이 ‘쑥’,2026-03-14T09:01:00,https://n.news.naver.com/mnews/article/024/0000104086?sid=101,-1
29,"“26만전자, 135만닉스 간다” 코스피 거품론에도 목표주가 또 올린 골드...",2026-03-13T07:19:00,https://n.news.naver.com/mnews/article/014/0005490839?sid=101,-1
399,"육천피 가시권…증권가 ""27만전자·150만닉스 간다""",2026-02-24T05:00:00,https://n.news.naver.com/mnews/article/003/0013783622?sid=101,1
51,삼성전자 떠나는 외국인들 “무슨 일 있나?”…개미들은 “폭풍 저가매...,2026-03-11T09:05:00,https://n.news.naver.com/mnews/article/022/0004111884?sid=101,-1
52,"삼성운용, 국내 첫 ‘AI 광통신’ ETF 상장",2026-03-14T06:09:00,https://n.news.naver.com/mnews/article/011/0004599196?sid=105,-1
60,주도주가 회복도 더 빠르다…반도체·증권·원전 고속 반등,2026-03-12T17:26:00,https://n.news.naver.com/mnews/article/015/0005261631?sid=101,2
364,20만전자·100만닉스 달성…반도체 투톱 신고가 경신,2026-02-24T13:56:00,https://n.news.naver.com/mnews/article/079/0004118334?sid=101,1
106,"'16만전자·81만닉스'…""들어갈까 말까"" 고민하는 개미들",2026-03-10T07:00:00,https://n.news.naver.com/mnews/article/003/0013811455?sid=101,0
171,‘32만전자’까지 나왔다,2026-03-12T11:21:00,https://n.news.naver.com/mnews/article/016/0002612446?sid=101,2
1477,5% 밀리는 코스피 '매도 사이드카' 발동…삼전·하닉 동반 6%↓,2026-03-09T09:23:00,https://n.news.naver.com/mnews/article/018/0006230693?sid=101,-1
128,“지금이 기회” 삼성전자 6조 줍줍한 개미들… 외국인 떠난 자리 메운...,2026-03-12T09:32:00,https://n.news.naver.com/mnews/article/022/0004112175?sid=101,-1
142,유가 급등 여파에…삼성전자·SK하이닉스 8% 넘게 동반 하락,2026-03-09T10:05:00,https://n.news.naver.com/mnews/article/009/0005647089?sid=101,0
161,"개미들 비명 터졌는데…""삼전·하닉 던질 때 아냐"" 월가의 베팅",2026-03-06T10:48:00,https://n.news.naver.com/mnews/article/015/0005259018?sid=101,-1
164,"[천광암 칼럼]“尹이 계속했어도 주가 6,000”… 정말 가능했을까",2026-03-08T23:22:00,https://n.news.naver.com/mnews/article/020/0003702247?sid=110,-1
1978,"""삼전·하이닉스 더 오른다"" 증권가 올해 톱픽...""비중 축소"" 외친 업종...",2026-01-02T06:02:00,https://n.news.naver.com/mnews/article/008/0005299295?sid=101,-1
188,"""삼성전자·SK하이닉스 던질때 아니다"".. 코스피 7000 전망치 올린 골드...",2026-03-06T15:13:00,https://n.news.naver.com/mnews/article/014/0005487397?sid=101,-1
1979,"작년 코스피 상승, 삼전·SK하닉 빼면 반토막…“5천피도 두 종목에 의존...",2026-01-04T16:56:00,https://n.news.naver.com/mnews/article/018/0006194409?sid=101,-1
200,전쟁 종식 기대감에 코스피 안도 랠리…삼성전자 '19만 전자' 복귀,2026-03-11T16:24:00,https://n.news.naver.com/mnews/article/469/0000918850?sid=101,-1
202,"미래에셋증권 “삼성전자, 3일 동안 20% 급락했어도 사라”…이유는?",2026-03-05T07:49:00,https://n.news.naver.com/mnews/article/009/0005645420?sid=101,-1
216,“지금이 매수 타이밍”…미래에셋이 삼성전자 추천한 이유는?,2026-03-05T10:17:00,https://n.news.naver.com/mnews/article/024/0000103855?sid=101,-1
228,"미래에셋증권 ""삼성전자, 급락에도 목표가 유지…펀더멘털 훼손 없어""",2026-03-05T08:40:00,https://n.news.naver.com/mnews/article/003/0013802374?sid=101,-1
236,"미래에셋證 ""삼성전자 급락 전형적 패닉셀…목표가 27만5000원 유지""",2026-03-05T08:23:00,https://n.news.naver.com/mnews/article/421/0008807234?sid=101,-1
1804,"""새해에는 반등할까""…삼전 주가 전망은",2025-01-01T05:00:00,https://n.news.naver.com/mnews/article/003/0012991645?sid=101,-1
257,[특징주] 이란 사태에 삼성전자 20만원·SK하이닉스 100만원 깨져,2026-03-03T14:22:00,https://n.news.naver.com/mnews/article/001/0015934668?sid=105,0
265,반도체 저승사자 “삼성전자 지금이 매수 기회” SK하이닉스도 긍정 전...,2026-03-05T07:59:00,https://n.news.naver.com/mnews/article/021/0002774843?sid=101,2
267,[특징주] 이란사태발 코스피 급락에 '20만전자·100만닉스'도 깨져(종합...,2026-03-03T15:42:00,https://n.news.naver.com/mnews/article/001/0015935062?sid=105,0
272,"중동 리스크에 6000 깨진 코스피, 5800대로 후퇴…‘20만전자·100만닉스...",2026-03-03T13:56:00,https://n.news.naver.com/mnews/article/016/0002607592?sid=101,-1
273,‘21만전자·100만닉스’ 끝 아니다…목표주가 줄줄이 상향,2026-03-01T12:07:00,https://n.news.naver.com/mnews/article/024/0000103778?sid=101,-1
276,'20만전자'-'100만닉스' 내줬지만…목표가는 '줄상향',2026-03-03T14:39:00,https://n.news.naver.com/mnews/article/215/0001243677?sid=101,0
278,"“삼성전자 34만원·SK하이닉스 170만원 간다” 맥쿼리, 목표가 또 상향",2026-02-25T17:47:00,https://n.news.naver.com/mnews/article/023/0003961060?sid=101,-1
280,"“285%·441% 뛰었는데, 더 오른다고?”…21만전자·100만닉스, 상승여력...",2026-03-01T06:04:00,https://n.news.naver.com/mnews/article/009/0005643544?sid=101,-1
1807,"""美 마이크론발 된서리"" 삼전·SK하이닉스, 주가 전망은?",2024-12-20T05:00:00,https://n.news.naver.com/mnews/article/003/0012972920?sid=101,-1
1844,"코스피, 6%대 급락해 5,200대…장 초반 매도 사이드카 발동(종합)",2026-03-09T09:55:00,https://n.news.naver.com/mnews/article/001/0015946199?sid=101,-1
302,삼성전자 11%↑·SK하이닉스 10%↑…19만전자·94만닉스 회복[핫스탁](종...,2026-03-05T15:39:00,https://n.news.naver.com/mnews/article/003/0013804092?sid=101,0
304,"美·이란 충돌 쇼크에 요동치는 증시…증권가 “삼성전자, SK하이닉스 매...",2026-03-08T13:00:00,https://n.news.naver.com/mnews/article/138/0002219868?sid=101,-1
404,"‘20만전자·100만닉스’ 현실 됐다…“여전히 저평가, 30만·160만 간다...",2026-02-24T16:03:00,https://n.news.naver.com/mnews/article/016/0002604392?sid=101,2
321,18만전자·90만닉스도 깨졌다…지금 들어가도 될까?,2026-03-05T07:00:00,https://n.news.naver.com/mnews/article/003/0013802261?sid=101,0
327,"""아직 팔 때 아니야?""…20만전자·100만닉스 붕괴에도 개미는 '사자'",2026-03-04T09:54:00,https://n.news.naver.com/mnews/article/088/0000999368?sid=101,-1
328,"""30만전자·160만닉스""…반도체 랠리 어디까지[육천피 시대]",2026-02-25T10:22:00,https://n.news.naver.com/mnews/article/003/0013786599?sid=101,2
340,"""실적 견조한 삼성전자, 후퇴보단 진격을""[클릭 e종목]",2026-03-05T08:10:00,https://n.news.naver.com/mnews/article/277/0005729478?sid=101,-1
342,"코스피 액티브 ETF, 증권·반도체 비중 늘려",2026-03-03T18:00:00,https://n.news.naver.com/mnews/article/009/0005644624?sid=101,-1
343,“21만전자·106만닉스 땡큐”…반도체 ETF ‘불기둥’[펀드와치],2026-03-02T11:00:00,https://n.news.naver.com/mnews/article/018/0006226826?sid=101,2
344,'20만전자' '100만닉스' 나란히 뚫었다,2026-02-24T17:42:00,https://n.news.naver.com/mnews/article/015/0005254635?sid=101,1
2176,[속보]미-이란 전쟁 장기화시 ‘코스피 30% 하락 가능성’…대신증권 전...,2026-03-04T17:01:00,https://n.news.naver.com/mnews/article/021/0002774759?sid=101,-1
